"","start","end","survey_type","survey_id","survey_version","country","community","sex","gear_handline","gear_spear","gear_traps","gear_gill_net","gear_mobile_net","gear_stationary_line","gear_other","other_gear","tech_smartphone","tech_maps","tech_socialmedia","tech_other","tech_no_tech","other_tech","fishtech_vhf","fishtech_fishfinder","fishtech_survcam","fishtech_catchapp","fishtech_vesseltrack","fishtech_gps","fishtech_other","fishtech_none","other_fishtech","text_vms","choice","package_nopackage","wtp_1","wtp_2","wtp_3","wtp_4","wtr_1","wtr_2","wtr_3","wtr_4","design_a","design_b","design_c","design_d","design_e","design_f","design_g","design_h","design_i","fraction_personal","fraction_neighbor","fraction_local_trade","fraction_export","fraction_other","other_fraction","mpa","rank_one","rank_two","rank_three","rank_four","age","years_fishing","education","other_education","income","income_fishing","income_expenses"
"77",2019-07-05 04:18:45,2019-07-05 04:30:59,"D",3055,5,"IND","MAK","M",0,0,0,1,0,0,0,,0,0,0,0,1,,0,0,0,0,0,0,0,1,,,2,0,,,,,"n","n","y",,0,1,1,0,0,0,0,0,0,,0,100,,,,"y","weather","pollution","iuu",,45,20,"secondary",,6e+06,100,60
"78",2019-07-05 04:28:29,2019-07-05 04:35:53,"D",3056,15,"IND","MAK","M",0,0,0,0,0,0,1,"Jaring udang",1,0,0,0,0,,0,0,0,0,0,0,0,1,,,1,1,"n",,,,,,,,0,1,1,1,1,0,0,0,0,0,0,100,0,0,,"n","weather","pollution","iuu","corruption",36,25,"primary",,1500000,100,20
"79",2019-07-05 05:43:47,2019-07-05 05:51:58,"D",3057,16,"IND","MAK","M",0,0,0,1,0,0,0,,0,0,0,0,1,,0,0,0,0,0,0,0,1,,,2,1,"n",,,,,,,,0,0,1,0,0,0,0,0,0,5,0,95,0,0,"Eat on the boat","n","weather","pollution","iuu",,45,25,"primary",,2500000,100,0
"80",2019-07-05 05:53:02,2019-07-05 06:10:27,"D",3059,12,"IND","MAK","M",0,0,1,0,0,0,0,,0,0,0,0,1,,0,0,0,0,0,0,0,1,,,2,0,,,,,"y",,,,0,0,1,0,0,0,0,0,0,,,100,,,,"n","pollution",,,,64,50,"no_formal",,2e+06,100,50
"81",2019-07-05 05:59:05,2019-07-05 06:06:56,"D",3058,16,"IND","MAK","M",0,0,0,0,1,0,0,"Purse seine",1,0,0,0,0,,0,0,0,0,0,0,0,1,,,1,1,"y","n",,,,,,,0,0,1,1,1,0,0,0,0,0,0,100,0,0,,"n","weather","pollution","iuu","corruption",38,25,"primary",,2500000,100,30
"82",2019-07-10 04:06:52,2019-07-10 07:35:42,"D",4001,1,"IND","MNC","M",0,0,0,0,1,0,0,"Purse seine",1,0,0,0,0,,1,0,0,1,0,0,0,,,,2,0,,,,,"y",,,,0,1,1,1,1,0,0,0,0,0,0,0,0,100,"Cold storage","n","weather","pollution","corruption","iuu",47,38,"primary",,5e+06,100,15
"83",2019-07-10 06:44:54,2019-07-10 07:34:21,"D",4002,2,"IND","MNC","M",0,0,0,0,1,0,0,"Purse seine",1,0,0,0,0,,1,0,0,0,0,0,0,0,,,1,1,"n",,,,,,,,0,1,1,1,0,0,0,1,0,0,0,0,0,100,"Cold storage","n","weather","pollution","corruption","iuu",35,20,"primary",,2e+06,100,15
"84",2019-07-10 07:14:26,2019-07-10 07:33:02,"D",4003,3,"IND","MNC","M",0,0,0,0,1,0,0,"Purse seine",1,0,0,0,0,,1,0,0,0,0,0,0,0,,,2,1,"y","y","n",,,,,,0,1,1,1,0,0,0,0,1,0,0,0,0,100,"Cold storage","y","weather","pollution","corruption","iuu",36,10,"secondary","Sekolah menengah atas",8e+06,100,30
"85",2019-07-10 07:42:43,2019-07-10 07:54:35,"D",4004,4,"IND","MNC","M",0,0,0,0,1,0,0,"Purse seine",1,0,0,0,0,,1,0,0,0,0,0,0,0,,,1,1,"n",,,,,,,,0,1,1,1,1,0,0,0,0,0,0,0,0,100,"Cold storage","y","weather","pollution","iuu","corruption",27,7,"secondary","SMA",2e+06,100,20
"86",2019-07-10 07:55:12,2019-07-10 08:39:38,"D",4005,5,"IND","MNC","M",0,0,0,0,1,0,0,"Purse seine",1,0,0,0,0,,1,0,0,0,0,0,0,0,,,2,1,"y","n",,,,,,,0,1,1,1,1,0,0,0,0,0,0,0,0,100,"Cold storage","y","weather","pollution","iuu","corruption",36,11,"secondary","SMA",3e+06,100,20
